Date,Open,High,Low,Close,Adj Close,Volume,New_Open,Difference,ave_5D,grad_5D,ave_20D,grad_20D
15/4/20,70.599998,71.582497,70.157501,71.107498,70.040741,131154400,71.845001,1.245003,70.1389998,0.7994996,67.3618746,0.4292498
16/4/20,71.845001,72.050003,70.587502,71.672501,70.597252,157125200,71.172501,-0.6725,70.6210006,0.4820008,67.72599965,0.36412505
17/4/20,71.172501,71.737503,69.214996,70.699997,69.639359,215250000,69.487503,-1.684998,70.4350006,-0.186,68.26924955,0.5432499
20/4/20,69.487503,70.419998,69.212502,69.232498,68.193855,130015200,69.07,-0.417503,69.9955002,-0.4395004,68.8431246,0.57387505
21/4/20,69.07,69.3125,66.357498,67.092499,66.085968,180991600,68.402496,-0.667504,69.4199998,-0.5755004,69.4227497,0.5796251
22/4/20,68.402496,69.474998,68.050003,69.025002,67.989479,116862400,68.967499,0.565003,69.0455002,-0.3744996,69.97474975,0.55200005
23/4/20,68.967499,70.4375,68.717499,68.7575,67.72599,124814400,69.300003,0.332504,69.237999,0.1924988,70.3454998,0.37075005
24/4/20,69.300003,70.752502,69.25,70.7425,69.681206,126161200,70.449997,1.149994,69.6779984,0.4399994,70.8514999,0.5060001
27/4/20,70.449997,71.135002,69.987503,70.792503,69.730469,117087600,71.269997,0.82,70.2339998,0.5560014,71.31324995,0.46175005
28/4/20,71.269997,71.457497,69.550003,69.644997,68.600182,112004800,71.182503,-0.087494,70.9384996,0.7044998,71.8106251,0.49737515
29/4/20,71.182503,72.417503,70.972504,71.932503,70.853371,137280800,72.489998,1.307495,71.390999,0.4524994,72.28349995,0.47287485
30/4/20,72.489998,73.6325,72.087502,73.449997,72.348099,183064000,71.5625,-0.927498,71.7595002,0.3685012,72.65537495,0.371875
1/5/20,71.5625,74.75,71.462502,72.267502,71.183342,240616800,72.292503,0.730003,72.2585006,0.4990004,72.8695,0.21412505
4/5/20,72.292503,73.422501,71.580002,73.290001,72.190498,133568000,73.764999,1.472496,73.0449996,0.786499,73.06525005,0.19575005
5/5/20,73.764999,75.25,73.614998,74.389999,73.273987,147751200,75.114998,1.349999,73.708,0.6630004,73.50550005,0.44025
6/5/20,75.114998,75.809998,74.717499,75.157501,74.029961,142333600,75.805,0.690002,74.6775008,0.9695008,73.98987505,0.484375
7/5/20,75.805,76.292503,75.4925,75.934998,74.795807,115215200,76.410004,0.605004,75.6240006,0.9464998,74.52825015,0.5383751
8/5/20,76.410004,77.587502,76.072502,77.532501,76.57608,133838400,77.025002,0.614998,76.7625002,1.1384996,75.06312525,0.5348751
11/5/20,77.025002,79.262497,76.809998,78.752502,77.781036,145946400,79.457497,2.432495,77.3470002,0.5845,75.54524995,0.4821247
12/5/20,79.457497,79.922501,77.727501,77.852501,76.892128,162301200,78.037498,-1.419999,77.4115006,0.0645004,76.0665001,0.52125015
13/5/20,78.037498,78.987503,75.802498,76.912498,75.963722,200622400,76.127502,-1.909996,77.1470002,-0.2645004,76.45475045,0.38825035
14/5/20,76.127502,77.447502,75.3825,77.385002,76.430397,158929200,75.087502,-1.04,77.4005004,0.2535002,76.85525015,0.4004997
15/5/20,75.087502,76.974998,75.052498,76.927498,75.978539,166348400,78.292503,3.205001,77.260501,-0.1399994,77.22137525,0.3661251
18/5/20,78.292503,79.125,77.580002,78.739998,77.768692,135178400,78.7575,0.464997,77.487001,0.2265,77.61512525,0.39375
19/5/20,78.7575,79.629997,78.252502,78.285004,77.319305,101729600,79.169998,0.412498,78.1945008,0.7074998,78.0098751,0.39474985
20/5/20,79.169998,79.879997,79.129997,79.807503,78.823021,111504800,79.665001,0.495003,78.9654998,0.770999,78.3798752,0.3700001
21/5/20,79.665001,80.222504,78.967499,79.212502,78.235367,102688800,78.942497,-0.722504,79.4819992,0.5164994,78.6790005,0.2991253
22/5/20,78.942497,79.807503,78.837502,79.722504,78.739067,81803200,80.875,1.932503,79.5375,0.0555008,78.9306256,0.2516251
26/5/20,80.875,81.059998,79.125,79.182503,78.205734,125522000,79.035004,-1.839996,79.5419998,0.0044998,79.2382504,0.3076248
27/5/20,79.035004,79.677498,78.272499,79.527496,78.546463,112945200,79.192497,0.157493,79.5714996,0.0294998,79.5387505,0.3005001
28/5/20,79.192497,80.860001,78.907501,79.5625,78.581032,133560800,79.8125,0.620003,79.6705002,0.0990006,79.91462555,0.37587505
29/5/20,79.8125,80.287498,79.1175,79.485001,78.504494,153532400,79.4375,-0.375,79.5330002,-0.1375,80.3791256,0.46450005
1/6/20,79.4375,80.587502,79.302498,80.462502,79.469933,80791200,80.1875,0.75,79.9589996,0.4259994,80.8817505,0.5026249
2/6/20,80.1875,80.860001,79.732498,80.834999,79.837845,87642800,81.165001,0.977501,80.340001,0.3810014,81.2930004,0.4112499
3/6/20,81.165001,81.550003,80.574997,81.279999,80.277336,104491200,81.097504,-0.067497,80.5450014,0.2050004,81.77162515,0.47862475
4/6/20,81.097504,81.404999,80.195,80.580002,79.585991,87560400,80.837502,-0.260002,81.1700014,0.625,82.27312505,0.5014999
5/6/20,80.837502,82.9375,80.807503,82.875,81.852676,137250400,82.5625,1.724998,81.7395022,0.5695008,82.7072502,0.43412515
